Type,Country,Engines[e],First Flight,Airline service entry,End of Production,Number Built,In Service[1][f]
Airbus A300,Multinational,2,1972,1974,2007,561,216 (September 2023)[2]
Airbus A310,Multinational,2,1982,1983,1998,255,48 (August 2023)[2]
Airbus A318,Multinational,2,2002,2003,2013,80,57 (September 2023)
Airbus A340,Multinational,4,1991,1993,2011,377,202 (September 2023)[2]
Airbus A380,Multinational,4,2005,2007,2021,251[2],232 (September 2023)[2]
Boeing 717,United States,2,1997,1999,2006,156,145
Boeing 727,United States,3,1963,1964,1984,1832,44
Boeing 747,United States,4,1969,1970,2022,"1,574[5]",481
Boeing 757,United States,2,1982,1983,2004,1050,683
Bombardier CRJ100/200/440,Canada,2,1991,1992,2006,1021,621
Bombardier CRJ700/705/900/1000,Canada,2,1999,2001,2020,924,825
British Aerospace 146/Avro RJ,UK,4,1981,1983,2001,387,204
Douglas DC-8,United States,4,1958,1959,1972,556,9
Embraer ERJ family,Brazil,2,1995,1996,2020,1231,610
Fairchild Dornier 328JET,Germany,2,1998,1999,2002,110,18
Fokker 100,Netherlands,2,1986,1988,1997,283,109
Fokker 70,Netherlands,2,1993,1994,1997,48,35
Ilyushin Il-62,USSR/Russia,4,1963,1967,1995,292,5
McDonnell Douglas DC-9,United States,2,1965,1965,1982,976,34
McDonnell Douglas DC-9 Super 80/MD-80,United States[g],2,1979,1980,1999,1191,250
McDonnell Douglas DC-10/MD-10,United States,3,1970,1971,1988,386,27
McDonnell Douglas MD-11,United States,3,1990,1990,2000,200,120
Tupolev Tu-134,USSR,2,1963,1967,1984,854,2
Tupolev Tu-154,USSR/Russia,3,1968,1972,2013,1026,9
Yakovlev Yak-40,USSR,3,1966,1968,1981,1011,20
Yakovlev Yak-42,USSR/Russia,3,1975,1980,2003,185,28
